report_id,report_date,source,site,location,activity,report_type,raw_text,actual_outcome,actual_severity
R001,2024-01-12,OSHA_SIR,Site_A,Maintenance_Area,Electrical Maintenance,Incident,"Worker began maintenance on electrical equipment without verifying isolation. The equipment remained energized during the task. A supervisor later noted the lockout procedure was not followed.",No Fatality,Severe
R002,2024-02-04,NIOSH_FACE,Site_B,Drilling Area,Drilling Operations,Fatality,"Worker was struck by drill pipe during equipment operation after entering the line of fire zone. No exclusion zone had been established. The worker was fatally injured on impact.",Fatality,Fatal
R003,2024-02-19,OSHA_ACCIDENT,Site_C,Workshop,Grinding,Near_Miss,"Worker was exposed to flying fragments after the grinder guard was removed to access a tight area. No injury occurred but fragments struck the face shield. Guard had been removed without authorization.",No Injury,Near Miss
R004,2024-03-02,CSB,Site_D,Processing Unit,Process Operation,Incident,"A hydrocarbon release occurred after process isolation was not adequately verified before maintenance commenced. Residual pressure remained in the line. A small fire resulted but was quickly suppressed.",No Fatality,Major Incident
R005,2024-03-14,OSHA_SIR,Site_E,Confined Space,Inspection,Incident,"Worker entered a confined space without documented atmospheric testing for oxygen deficiency or toxic gas. No gas detector was available at the entry point. Worker was hospitalized for exposure symptoms.",Hospitalized,Severe
R006,2024-03-21,OSHA_SIR,Site_A,Elevated Platform,Structural Inspection,Near_Miss,"Inspector was working at 12 metres height without a fall arrest harness. The safety harness was available in the toolbox but not worn. Wind conditions were moderate. No injury occurred.",No Injury,Near Miss
R007,2024-04-01,NIOSH_FACE,Site_F,Loading Bay,Material Handling,Fatality,"Crane operator lifted a suspended load over a work area where another worker was present. The load slipped from rigging due to sling failure. The worker below was fatally struck.",Fatality,Fatal
R008,2024-04-08,OSHA_ACCIDENT,Site_B,Compressor Room,Maintenance,Incident,"Maintenance technician began work on compressor without confirming the energy isolation permit. Residual stored pressure was released when a fitting was removed. Worker sustained burns to forearm.",Medical Treatment,Moderate
R009,2024-04-15,CSB,Site_C,Fuel Storage,Hotwork Operations,Near_Miss,"Hot work was conducted within 10 metres of a fuel storage tank without a hot work permit. No gas monitoring was in place. Sparks reached the bund but no ignition occurred.",No Injury,Near Miss
R010,2024-04-22,OSHA_SIR,Site_D,Vehicle Access Road,Driving,Incident,"Heavy vehicle driver reversed without a spotter in a restricted area. A worker on foot was struck and received a broken leg. Pedestrian exclusion zones were not enforced in this area.",Hospitalized,Severe
R011,2024-05-01,NIOSH_FACE,Site_A,Excavation,Civil Works,Fatality,"Worker was inside an unshored excavation approximately 2.1 metres deep when a wall collapse occurred. No shoring or benching was in place. The worker was buried and fatally injured.",Fatality,Fatal
R012,2024-05-09,OSHA_ACCIDENT,Site_E,Electrical Substation,Cable Installation,Incident,"Electrician received a shock while working on a live panel that was believed to be de-energised. Isolation was verified at the wrong isolation point. Burns to hands resulted.",Medical Treatment,Moderate
R013,2024-05-16,CSB,Site_F,Gas Plant,Process Operations,Incident,"Gas detector alarm was acknowledged but not investigated. A flammable gas cloud subsequently ignited causing a flash fire. Two workers received burns. The alarm had sounded three times in the previous hour.",Hospitalized,Severe
R014,2024-05-23,OSHA_SIR,Site_B,Workshop,Welding,Near_Miss,"Welder was conducting hot work adjacent to a storage rack containing aerosol cans. No hot work permit had been issued. A supervisor stopped the work before ignition occurred.",No Injury,Near Miss
R015,2024-06-01,NIOSH_FACE,Site_C,Well Pad,Well Operations,Fatality,"Worker was exposed to sudden well pressure surge during maintenance on a valve without a pressure isolation being in place. The valve ejected and the worker was struck. Fatality resulted.",Fatality,Fatal
R016,2024-06-08,OSHA_ACCIDENT,Site_D,Roof Access,Maintenance,Near_Miss,"Maintenance worker was on a flat roof without edge protection or fall arrest equipment. Work involved replacing a HVAC unit near the roof edge. No fall prevention controls were implemented.",No Injury,Near Miss
R017,2024-06-15,CSB,Site_A,Chemical Storage,Chemical Handling,Incident,"Incorrect chemical was loaded into a reaction vessel because labelling was inadequate. An exothermic reaction resulted. Emergency shutdown activated. No injuries but significant equipment damage.",No Injury,Near Miss
R018,2024-06-22,OSHA_SIR,Site_E,Forklift Zone,Logistics,Incident,"Forklift operator struck a pedestrian in a shared access zone. No pedestrian segregation barriers were in place. The pedestrian sustained a fracture. Speed limits were not enforced.",Medical Treatment,Moderate
R019,2024-07-01,NIOSH_FACE,Site_F,Maintenance Workshop,Mechanical Maintenance,Fatality,"Worker was maintaining a press and reached into the machine while the power was connected. No lockout was in place. The press cycled and the worker sustained fatal crush injuries.",Fatality,Fatal
R020,2024-07-08,OSHA_ACCIDENT,Site_B,Scaffolding,Construction,Incident,"Scaffolding was erected by workers who were not certified scaffold erectors. Incomplete board coverage on the 3rd lift. A worker stepped through a gap and fell approximately 3 metres. Hospitalized.",Hospitalized,Severe
R021,2024-07-15,CSB,Site_C,Pipeline,Inspection,Near_Miss,"Corrosion inspection revealed wall thinning below minimum acceptable thickness on a high-pressure gas pipeline section. No reduction in operating pressure had been requested. Potential catastrophic rupture identified.",No Injury,Near Miss
